subjectName,courseType,maxCount,groupNumber,teacher,teacherMailAddress,isOnline,weekAB,dayOfWeek,startTime,studentName,studentIndex
Inżynieria oprogramowania,P,15,7,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Czw,14:40,Bertino Orlando,275480
Inżynieria oprogramowania,P,15,7,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Czw,14:40,Melodyjka Arnold,311222
Inżynieria oprogramowania,P,15,7,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Czw,14:40,Samochodzik Joe,387920
Inżynieria oprogramowania,P,15,7,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Czw,14:40,Mieszkaniec Balbina,402918
Inżynieria oprogramowania,P,15,8,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Wt,09:35,Płanetnik Berta,513777
Inżynieria oprogramowania,P,15,8,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Wt,09:35,Kulig Amanda,103897
Inżynieria oprogramowania,P,15,8,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Wt,09:35,Sim August,266739
Inżynieria oprogramowania,P,15,9,Łazarz Radosław,lazarz@agh.edu.pl,Zdalnie,,Sr,11:15,Dzwonko Adam,999888
Inżynieria oprogramowania,P,15,9,Łazarz Radosław,lazarz@agh.edu.pl,Zdalnie,,Sr,11:15,Koks Kazik,111333
Inżynieria oprogramowania,P,15,10,Żabińska-Rakoczy Małgorzata,zabinska@agh.edu.pl,Zdalnie,,Wt,11:15,Nietoperz Magdalena,666999
Inżynieria oprogramowania,P,15,10,Żabińska-Rakoczy Małgorzata,zabinska@agh.edu.pl,Zdalnie,,Wt,11:15,Miś Barbara,555777
Systemy rozproszone,W,1440,,Zieliński Krzysztof,kzielins@agh.edu.pl,Zdalnie,,Pn,08:00,,
Systemy rozproszone,L,15,1,Czekierda Łukasz,luke@agh.edu.pl,Zdalnie,,Wt,09:35,Dalej Tekla,876543
Systemy rozproszone,L,15,1,Czekierda Łukasz,luke@agh.edu.pl,Zdalnie,,Wt,09:35,Samochodzik Joe,387920
Systemy rozproszone,L,15,2,Nawrocki Piotr,piotr.nawrocki@agh.edu.pl,Zdalnie,,Sr,09:35,Probówka Maurycy,612345
Systemy rozproszone,L,15,2,Nawrocki Piotr,piotr.nawrocki@agh.edu.pl,Zdalnie,,Sr,09:35,Miguel Zosia,261373
Systemy rozproszone,L,15,2,Nawrocki Piotr,piotr.nawrocki@agh.edu.pl,Zdalnie,,Sr,09:35,Wystrzał Beniamin,232595
Systemy rozproszone,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,,Pn,14:40,Sim August,266739
Systemy rozproszone,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,,Pn,14:40,Lotnik Marcelina,123654
Systemy rozproszone,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,,Pn,14:40,Siodełko Kazimierz,313414
Systemy rozproszone,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,,Pn,14:40,Brutal Monika,295454
Systemy rozproszone,L,15,5,Czekierda Łukasz,luke@agh.edu.pl,Zdalnie,,Wt,11:15,Płanetnik Berta,513777
Systemy rozproszone,L,15,6,Czekierda Łukasz,luke@agh.edu.pl,Zdalnie,,Wt,12:50,Panicz Marlena,290092
Systemy rozproszone,L,15,7,Nawrocki Piotr,piotr.nawrocki@agh.edu.pl,Zdalnie,,Sr,11:15,Siodełko Janina,280680
Systemy rozproszone,L,15,7,Nawrocki Piotr,piotr.nawrocki@agh.edu.pl,Zdalnie,,Sr,11:15,Żeberko Gerwazy,123465
Systemy rozproszone,L,15,8,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,11:15,Śmieszek Melisa,797955
Systemy rozproszone,L,15,8,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,11:15,Grosik Orlando,123645
Systemy rozproszone,L,15,9,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,12:50,Elegant Rupert,765432
Systemy rozproszone,L,15,10,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,14:40,Gonzaga Celina,514313
Systemy rozproszone,L,15,10,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,14:40,Słomka Marta,123456
Systemy rozproszone,L,15,10,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,14:40,Miastowiec Bronisław,243777
Systemy rozproszone,L,15,10,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,14:40,Bertino Orlando,275480
Systemy rozproszone,L,15,11,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pt,16:15,Mieszkaniec Balbina,402918
Systemy rozproszone,L,15,12,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Wt,14:40,Kulig Amanda,103897
Systemy rozproszone,L,15,12,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Wt,14:40,Koks Kazik,111333
Systemy rozproszone,L,15,13,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pn,11:15,Kostur Jolanta,273818
Systemy rozproszone,L,15,14,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pn,09:35,Kwiatek Brandon,222999
Systemy rozproszone,L,15,14,Malawski Filip,fmal@agh.edu.pl,Zdalnie,,Pn,09:35,Nietoperz Magdalena,666999
Algorytmy dla problemów trudnych obliczeniowo,W,1440,,Faliszewski Piotr,faliszew@agh.edu.pl,Zdalnie,,Cz,11:15,,
Algorytmy dla problemów trudnych obliczeniowo,L,15,1,Faliszewski Piotr,faliszew@agh.edu.pl,Zdalnie,,Sr,09:35,Panicz Marlena,290092
Algorytmy dla problemów trudnych obliczeniowo,L,15,1,Faliszewski Piotr,faliszew@agh.edu.pl,Zdalnie,,Sr,09:35,Siodełko Kazimierz,313414
Algorytmy dla problemów trudnych obliczeniowo,L,15,2,Faliszewski Piotr,faliszew@agh.edu.pl,Zdalnie,,Sr,11:15,Nietoperz Magdalena,666999
Algorytmy dla problemów trudnych obliczeniowo,L,15,2,Faliszewski Piotr,faliszew@agh.edu.pl,Zdalnie,,Sr,11:15,Miastowiec Bronisław,243777
Algorytmy dla problemów trudnych obliczeniowo,L,15,3,Gajęcki Marek,mag@agh.edu.pl,Zdalnie,,Wt,09:35,Słomka Marta,123456
Algorytmy dla problemów trudnych obliczeniowo,L,15,3,Gajęcki Marek,mag@agh.edu.pl,Zdalnie,,Wt,09:35,Wystrzał Beniamin,232595
Algorytmy dla problemów trudnych obliczeniowo,L,15,3,Gajęcki Marek,mag@agh.edu.pl,Zdalnie,,Wt,09:35,Lotnik Marcelina,123654
Algorytmy dla problemów trudnych obliczeniowo,L,15,4,Gajęcki Marek,mag@agh.edu.pl,Zdalnie,,Wt,11:15,Bertino Orlando,275480
Algorytmy dla problemów trudnych obliczeniowo,L,15,4,Gajęcki Marek,mag@agh.edu.pl,Zdalnie,,Wt,11:15,Sim August,266739
Wprowadzenie do inżynierii bezpieczeństwa,W,1440,,Faber Łukasz,faber@agh.edu.pl,Zdalnie,,Pn,14:40,,
Wprowadzenie do inżynierii bezpieczeństwa,L,15,1,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Pn,11:15,Melodyjka Arnold,311222
Wprowadzenie do inżynierii bezpieczeństwa,L,15,2,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Pn,12:50,Kwiatek Brandon,222999
Wprowadzenie do inżynierii bezpieczeństwa,L,15,2,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Pn,12:50,Grosik Orlando,123645
Wprowadzenie do inżynierii bezpieczeństwa,L,15,3,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,09:35,Mieszkaniec Balbina,402918
Wprowadzenie do inżynierii bezpieczeństwa,L,15,3,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,09:35,Samochodzik Joe,387920
Wprowadzenie do inżynierii bezpieczeństwa,L,15,4,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Wt,11:15,Koks Kazik,111333
Wprowadzenie do inżynierii bezpieczeństwa,L,15,5,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Wt,12:50,Kostur Jolanta,273818
Wprowadzenie do inżynierii bezpieczeństwa,L,15,5,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Wt,12:50,Żeberko Gerwazy,123465
Wprowadzenie do inżynierii bezpieczeństwa,L,15,6,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Wt,14:40,Słomka Marta,123456
Wprowadzenie do inżynierii bezpieczeństwa,L,15,6,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Wt,14:40,Dalej Tekla,876543
Wprowadzenie do inżynierii bezpieczeństwa,L,15,8,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,11:15,Elegant Rupert,765432
Wprowadzenie do inżynierii bezpieczeństwa,L,15,8,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,11:15,Kulig Amanda,103897
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Miś Barbara,555777
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Gonzaga Celina,514313
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Płanetnik Berta,513777
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Śmieszek Melisa,797955
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Siodełko Janina,280680
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Brutal Monika,295454
Wprowadzenie do inżynierii bezpieczeństwa,L,15,9,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,12:50,Miguel Zosia,261373
Wprowadzenie do inżynierii bezpieczeństwa,L,15,10,Suder Dawid,dsuder@agh.edu.pl,Zdalnie,,Sr,14:40,Probówka Maurycy,612345
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,2,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Wt,11:15,Dalej Tekla,876543
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,3,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Wt,12:50,Kulig Amanda,103897
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,3,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Wt,12:50,Koks Kazik,111333
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,3,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Wt,12:50,Siodełko Janina,280680
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,4,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,09:35,Gonzaga Celina,514313
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,4,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,09:35,Melodyjka Arnold,311222
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,5,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,11:15,Miś Barbara,555777
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,5,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,11:15,Płanetnik Berta,513777
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,5,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,11:15,Samochodzik Joe,387920
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,5,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,11:15,Kwiatek Brandon,222999
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,6,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,12:50,Kostur Jolanta,273818
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,6,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,12:50,Probówka Maurycy,612345
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,6,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,12:50,Żeberko Gerwazy,123465
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,7,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,16:15,Mieszkaniec Balbina,402918
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,7,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,16:15,Śmieszek Melisa,797955
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,8,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Sr,17:50,Brutal Monika,295454
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,9,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Cz,16:15,Elegant Rupert,765432
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,9,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Cz,16:15,Słomka Marta,123456
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,10,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Cz,17:50,Miguel Zosia,261373
Wprowadzenie do inżynierii bezpieczeństwa - projekt,P,15,10,Król Magdalena,mkrol@agh.edu.pl,Zdalnie,,Cz,17:50,Grosik Orlando,123645
UX aplikacji internetowych,W,1440,,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,,Sr,08:00,,
UX aplikacji internetowych,L,15,1,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,09:35,Dzwonko Adam,999888
UX aplikacji internetowych,L,15,1,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,09:35,Koks Kazik,111333
UX aplikacji internetowych,L,15,1,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,09:35,Żeberko Gerwazy,123465
UX aplikacji internetowych,L,15,2,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,B,Sr,09:35,Kwiatek Brandon,222999
UX aplikacji internetowych,L,15,2,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,B,Sr,09:35,Płanetnik Berta,513777
UX aplikacji internetowych,L,15,2,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,B,Sr,09:35,Siodełko Janina,280680
UX aplikacji internetowych,L,15,3,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,11:15,Gonzaga Celina,514313
UX aplikacji internetowych,L,15,3,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,11:15,Śmieszek Melisa,797955
UX aplikacji internetowych,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,B,Sr,11:15,Probówka Maurycy,612345
UX aplikacji internetowych,L,15,4,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,B,Sr,11:15,Miguel Zosia,261373
UX aplikacji internetowych,L,15,5,Kwolek Bartosz,bkwolek@agh.edu.pl,Zdalnie,A,Sr,12:50,Dalej Tekla,876543
UX aplikacji internetowych,L,15,7,Orzeł Joanna,orzel@agh.edu.pl,Zdalnie,A,Pt,08:00,Grosik Orlando,123645
UX aplikacji internetowych,L,15,8,Orzeł Joanna,orzel@agh.edu.pl,Zdalnie,B,Pt,08:00,Melodyjka Arnold,311222
UX aplikacji internetowych,L,15,9,Orzeł Joanna,orzel@agh.edu.pl,Zdalnie,A,Pt,09:35,Mieszkaniec Balbina,402918
UX aplikacji internetowych,L,15,9,Orzeł Joanna,orzel@agh.edu.pl,Zdalnie,A,Pt,09:35,Elegant Rupert,765432
UX aplikacji internetowych,L,15,10,Orzeł Joanna,orzel@agh.edu.pl,Zdalnie,B,Pt,09:35,Kostur Jolanta,273818
Systemy wbudowane,L,15,1,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,12:50,Mieszkaniec Balbina,402918
Systemy wbudowane,L,15,1,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,12:50,Nietoperz Magdalena,666999
Systemy wbudowane,L,15,1,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,12:50,Śmieszek Melisa,797955
Systemy wbudowane,L,15,1,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,12:50,Żeberko Gerwazy,123465
Systemy wbudowane,L,15,1,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,12:50,Grosik Orlando,123645
Systemy wbudowane,L,15,2,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,14:40,Elegant Rupert,765432
Systemy wbudowane,L,15,3,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,09:35,Gonzaga Celina,514313
Systemy wbudowane,L,15,3,Brzoza-Woch Robert,rabw@agh.edu.pl,Zdalnie,,Pt,09:35,Dalej Tekla,876543
Systemy wbudowane,L,15,4,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,12:50,Sim August,266739
Systemy wbudowane,L,15,4,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,12:50,Płanetnik Berta,513777
Systemy wbudowane,L,15,4,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,12:50,Melodyjka Arnold,311222
Systemy wbudowane,L,15,6,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,16:15,Kulig Amanda,103897
Systemy wbudowane,L,15,6,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,16:15,Kwiatek Brandon,222999
Systemy wbudowane,L,15,6,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,16:15,Probówka Maurycy,612345
Systemy wbudowane,L,15,6,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,16:15,Miguel Zosia,261373
Systemy wbudowane,L,15,6,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,16:15,Siodełko Kazimierz,313414
Systemy wbudowane,L,15,7,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,17:50,Panicz Marlena,290092
Systemy wbudowane,L,15,7,Zaborowski Wojciech,zab@agh.edu.pl,Zdalnie,,Cz,17:50,Lotnik Marcelina,123654
Bezpieczeństwo sieci komputerowych,W,1440,,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,A,Cz,14:40,,
Bezpieczeństwo sieci komputerowych,L,15,1,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,A,Cz,11:15,Kulig Amanda,103897
Bezpieczeństwo sieci komputerowych,L,15,2,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,A,Cz,12:50,Gonzaga Celina,514313
Bezpieczeństwo sieci komputerowych,L,15,2,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,A,Cz,12:50,Dalej Tekla,876543
Bezpieczeństwo sieci komputerowych,L,15,2,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,A,Cz,12:50,Miguel Zosia,261373
Bezpieczeństwo sieci komputerowych,L,15,3,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,B,Cz,14:40,Nietoperz Magdalena,666999
Bezpieczeństwo sieci komputerowych,L,15,4,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,B,Cz,11:15,Sim August,266739
Bezpieczeństwo sieci komputerowych,L,15,4,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,B,Cz,11:15,Kostur Jolanta,273818
Bezpieczeństwo sieci komputerowych,L,15,5,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,B,Cz,12:50,Elegant Rupert,765432
Bezpieczeństwo sieci komputerowych,L,15,5,Zieliński Sławomir,slawek@agh.edu.pl,Zdalnie,B,Cz,12:50,Grosik Orlando,123645
Wprowadzenie do cyfrowego przetwarzania sygnałów,W,1440,,Zieliński Tomasz,tzielin@agh.edu.pl,Zdalnie,,Cz,12:50,,
Wprowadzenie do cyfrowego przetwarzania sygnałów,L,15,1,Zieliński Tomasz,tzielin@agh.edu.pl,Zdalnie,A,Cz,14:40,Koks Kazik,111333
Wprowadzenie do cyfrowego przetwarzania sygnałów,L,15,1,Zieliński Tomasz,tzielin@agh.edu.pl,Zdalnie,A,Cz,14:40,Miastowiec Bronisław,243777
Wprowadzenie do cyfrowego przetwarzania sygnałów,L,15,1,Zieliński Tomasz,tzielin@agh.edu.pl,Zdalnie,A,Cz,14:40,Wystrzał Beniamin,232595
Wprowadzenie do cyfrowego przetwarzania sygnałów,L,15,2,Zieliński Tomasz,tzielin@agh.edu.pl,Zdalnie,B,Cz,14:40,Kostur Jolanta,273818
